Rank,Title,Year,Composer(s),Lyricist(s),URL
1,Body and Soul,1930,Johnny Green,"Edward Heyman, Robert Sour, Frank Eyton",https://www.jazzstandards.com/compositions-0/bodyandsoul.htm
2,All the Things You Are,1939,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-0/allthethingsyouare.htm
3,Summertime,1935,George Gershwin,DuBose Heyward,https://www.jazzstandards.com/compositions-0/summertime.htm
4,'Round Midnight,1944,"Cootie Williams, Thelonious Monk",Bernie Hanighen,https://www.jazzstandards.com/compositions-0/roundmidnight.htm
5,I Can't Get Started (with You),1935,Vernon Duke,Ira Gershwin,https://www.jazzstandards.com/compositions-0/icantgetstarted.htm
6,My Funny Valentine,1937,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-0/myfunnyvalentine.htm
7,"Lover Man (Oh, Where Can You Be?)",1942,"James Edward Davis, Ram Ramirez, Jimmy Sherman","James Edward Davis, Ram Ramirez, Jimmy Sherman",https://www.jazzstandards.com/compositions-0/loverman.htm
8,What Is This Thing Called Love?,1930,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-0/whatisthisthingcalledlove.htm
9,Yesterdays,1933,Jerome Kern,Otto Harbach,https://www.jazzstandards.com/compositions-0/yesterdays.htm
10,Stella By Starlight,1946,Victor Young,Ned Washington,https://www.jazzstandards.com/compositions-0/stellabystarlight.htm
11,Autumn Leaves (Les Feuilles Mortes),1947,Joseph Kosma,"Johnny Mercer, Jacques Prevert",https://www.jazzstandards.com/compositions-0/autumnleaves.htm
12,Star Dust,1929,Hoagy Carmichael,Mitchell Parish,https://www.jazzstandards.com/compositions-0/stardust.htm
13,Willow Weep for Me,1932,Ann Ronell,Ann Ronell,https://www.jazzstandards.com/compositions-0/willowweepforme.htm
14,What's New?,1939,Bob Haggart,Johnny Burke,https://www.jazzstandards.com/compositions-0/whatsnew.htm
15,Honeysuckle Rose,1929,Fats Waller,Andy Razaf,https://www.jazzstandards.com/compositions-0/honeysucklerose.htm
16,Sweet Georgia Brown,1925,"Ben Bernie, Ken Casey, Maceo Pinkard","Ben Bernie, Ken Casey, Maceo Pinkard",https://www.jazzstandards.com/compositions-0/sweetgeorgiabrown.htm
17,Caravan,1936,"Duke Ellington, Juan Tizol",Irving Mills,https://www.jazzstandards.com/compositions-0/caravan.htm
18,The Man I Love,1924,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/themanilove.htm
